timestamp,location_name,latitude,longitude,current_speed,free_flow_speed,current_travel_time,free_flow_travel_time,confidence,road_type,road_closure
2026-02-09T06:59:10.413349,EM_Bypass_North,22.5726,88.3639,12,22,270,147,0.556777,FRC3,False
2026-02-09T06:59:11.550522,Park_Street,22.5535,88.3531,10,19,658,346,0.99,FRC4,False
2026-02-09T06:59:12.689750,Howrah_Bridge,22.5851,88.3467,14,24,906,528,1.0,FRC3,False
2026-02-09T06:59:13.829413,Gariahat,22.5189,88.3647,14,22,639,406,0.996573,FRC7,False
2026-02-09T06:59:14.967689,Salt_Lake_V,22.5744,88.4323,17,24,572,405,0.93385,FRC5,False
2026-02-09T07:03:47.126077,EM_Bypass_North,22.5726,88.3639,12,23,270,141,0.55,FRC3,False
2026-02-09T07:03:48.270656,Park_Street,22.5535,88.3531,10,19,658,346,0.99,FRC4,False
2026-02-09T07:03:49.419444,Howrah_Bridge,22.5851,88.3467,15,24,846,528,1.0,FRC3,False
2026-02-09T07:03:50.575212,Gariahat,22.5189,88.3647,15,22,596,406,0.994867,FRC7,False
2026-02-09T07:03:51.717367,Salt_Lake_V,22.5744,88.4323,18,24,540,405,0.926058,FRC5,False
2026-02-09T07:04:52.949356,EM_Bypass_North,22.5726,88.3639,12,23,270,141,0.55,FRC3,False
2026-02-09T07:04:54.087174,Park_Street,22.5535,88.3531,10,19,658,346,0.99,FRC4,False
2026-02-09T07:04:55.226710,Howrah_Bridge,22.5851,88.3467,14,24,906,528,1.0,FRC3,False
2026-02-09T07:04:56.361201,Gariahat,22.5189,88.3647,14,22,639,406,0.994867,FRC7,False
2026-02-09T07:04:57.502420,Salt_Lake_V,22.5744,88.4323,17,24,572,405,0.926058,FRC5,False
2026-02-09T07:05:58.679475,EM_Bypass_North,22.5726,88.3639,12,23,270,141,0.55,FRC3,False
2026-02-09T07:05:59.811095,Park_Street,22.5535,88.3531,11,19,598,346,0.998232,FRC4,False
2026-02-09T07:06:00.954480,Howrah_Bridge,22.5851,88.3467,14,24,906,528,1.0,FRC3,False
2026-02-09T07:06:02.095022,Gariahat,22.5189,88.3647,14,22,639,406,0.996573,FRC7,False
2026-02-09T07:06:03.233400,Salt_Lake_V,22.5744,88.4323,19,24,511,405,0.927239,FRC5,False
2026-02-09T07:07:04.435537,EM_Bypass_North,22.5726,88.3639,12,23,270,141,0.55,FRC3,False
2026-02-09T07:07:05.573629,Park_Street,22.5535,88.3531,9,18,731,365,1.0,FRC4,False
2026-02-09T07:07:06.710920,Howrah_Bridge,22.5851,88.3467,14,24,906,528,1.0,FRC3,False
2026-02-09T07:07:07.851463,Gariahat,22.5189,88.3647,13,22,688,406,0.996573,FRC7,False
2026-02-09T07:07:08.986643,Salt_Lake_V,22.5744,88.4323,24,24,405,405,1.0,FRC5,False
2026-02-09T07:08:10.179935,EM_Bypass_North,22.5726,88.3639,12,23,270,141,0.55,FRC3,False
2026-02-09T07:08:11.323497,Park_Street,22.5535,88.3531,11,19,598,346,1.0,FRC4,False
2026-02-09T07:08:12.462154,Howrah_Bridge,22.5851,88.3467,15,24,846,528,1.0,FRC3,False
2026-02-09T07:08:13.596262,Gariahat,22.5189,88.3647,14,22,639,406,0.995716,FRC7,False
2026-02-09T07:08:14.736958,Salt_Lake_V,22.5744,88.4323,20,24,486,405,0.932351,FRC5,False
2026-02-09T07:09:15.995184,EM_Bypass_North,22.5726,88.3639,12,23,270,141,0.55,FRC3,False
2026-02-09T07:09:17.132599,Park_Street,22.5535,88.3531,11,18,598,365,1.0,FRC4,False
2026-02-09T07:09:18.270650,Howrah_Bridge,22.5851,88.3467,15,24,846,528,1.0,FRC3,False
2026-02-09T07:09:19.411580,Gariahat,22.5189,88.3647,14,23,639,389,0.995716,FRC7,False
2026-02-09T07:09:20.547829,Salt_Lake_V,22.5744,88.4323,19,24,511,405,0.932351,FRC5,False
2026-02-09T07:10:21.750684,EM_Bypass_North,22.5726,88.3639,12,23,270,141,0.55,FRC3,False
2026-02-09T07:10:22.893274,Park_Street,22.5535,88.3531,11,18,598,365,1.0,FRC4,False
2026-02-09T07:10:24.033470,Howrah_Bridge,22.5851,88.3467,15,24,846,528,1.0,FRC3,False
2026-02-09T07:10:25.176279,Gariahat,22.5189,88.3647,15,23,596,389,0.995716,FRC7,False
2026-02-09T07:10:26.305611,Salt_Lake_V,22.5744,88.4323,19,24,511,405,0.932351,FRC5,False
2026-02-09T07:11:27.568933,EM_Bypass_North,22.5726,88.3639,12,23,270,141,0.55,FRC3,False
2026-02-09T07:11:28.707856,Park_Street,22.5535,88.3531,11,19,598,346,1.0,FRC4,False
2026-02-09T07:11:29.846526,Howrah_Bridge,22.5851,88.3467,15,24,846,528,1.0,FRC3,False
2026-02-09T07:11:30.989032,Gariahat,22.5189,88.3647,15,23,596,389,0.995716,FRC7,False
2026-02-09T07:11:32.119082,Salt_Lake_V,22.5744,88.4323,18,24,540,405,0.932351,FRC5,False
2026-02-09T07:12:33.314356,EM_Bypass_North,22.5726,88.3639,12,22,270,147,0.55,FRC3,False
2026-02-09T07:12:34.451673,Park_Street,22.5535,88.3531,9,18,731,365,1.0,FRC4,False
2026-02-09T07:12:35.585718,Howrah_Bridge,22.5851,88.3467,15,24,846,528,1.0,FRC3,False
2026-02-09T07:12:36.724878,Gariahat,22.5189,88.3647,16,23,559,389,0.994859,FRC7,False
2026-02-09T07:12:37.867946,Salt_Lake_V,22.5744,88.4323,18,24,540,405,0.935412,FRC5,False
2026-02-09T07:13:39.065227,EM_Bypass_North,22.5726,88.3639,15,23,216,141,0.55,FRC3,False
2026-02-09T07:13:40.206361,Park_Street,22.5535,88.3531,10,18,658,365,1.0,FRC4,False
2026-02-09T07:13:41.347949,Howrah_Bridge,22.5851,88.3467,16,24,793,528,1.0,FRC3,False
2026-02-09T07:13:42.481887,Gariahat,22.5189,88.3647,15,23,596,389,0.995716,FRC7,False
2026-02-09T07:13:43.627428,Salt_Lake_V,22.5744,88.4323,17,23,572,422,0.935412,FRC5,False
2026-02-09T07:14:44.806325,EM_Bypass_North,22.5726,88.3639,17,23,191,141,0.55,FRC3,False
2026-02-09T07:14:45.950140,Park_Street,22.5535,88.3531,12,17,548,387,0.998397,FRC4,False
2026-02-09T07:14:47.088516,Howrah_Bridge,22.5851,88.3467,15,24,846,528,1.0,FRC3,False
2026-02-09T07:14:48.229840,Gariahat,22.5189,88.3647,16,22,559,406,0.994859,FRC7,False
2026-02-09T07:14:49.363570,Salt_Lake_V,22.5744,88.4323,16,24,607,405,0.927235,FRC5,False
2026-02-09T07:15:50.545896,EM_Bypass_North,22.5726,88.3639,18,23,180,141,0.54,FRC3,False
2026-02-09T07:15:51.690869,Park_Street,22.5535,88.3531,12,18,548,365,0.998397,FRC4,False
2026-02-09T07:15:52.827744,Howrah_Bridge,22.5851,88.3467,15,23,846,551,1.0,FRC3,False
2026-02-09T07:15:53.965720,Gariahat,22.5189,88.3647,17,23,526,389,0.994855,FRC7,False
2026-02-09T07:15:55.105467,Salt_Lake_V,22.5744,88.4323,16,23,607,422,0.927339,FRC5,False
2026-02-09T07:16:56.301643,EM_Bypass_North,22.5726,88.3639,18,23,180,141,0.54,FRC3,False
2026-02-09T07:16:57.439857,Park_Street,22.5535,88.3531,9,18,731,365,1.0,FRC4,False
2026-02-09T07:16:58.579185,Howrah_Bridge,22.5851,88.3467,16,24,793,528,1.0,FRC3,False
2026-02-09T07:16:59.721519,Gariahat,22.5189,88.3647,16,23,559,389,0.995716,FRC7,False
2026-02-09T07:17:00.865379,Salt_Lake_V,22.5744,88.4323,16,24,607,405,0.932351,FRC5,False
2026-02-09T07:18:02.051157,EM_Bypass_North,22.5726,88.3639,23,23,141,141,1.0,FRC3,False
2026-02-09T07:18:03.199312,Park_Street,22.5535,88.3531,9,18,731,365,1.0,FRC4,False
